hyperparameters,epoch,loss_tr,loss_va,duration
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",9,159.4324322849576,159.430125,1.0816929340362549
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",10,158.8264305555846,158.632375,1.1066288948059082
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",11,158.194337407833,158.13165,1.1144397258758545
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",12,157.61410633552762,157.532,1.1297707557678223
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",13,157.1183489650424,157.166075,1.1426506042480469
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",14,156.6699282137689,156.543975,1.1328279972076416
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",15,156.28491403714492,156.3674125,1.1241464614868164
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",16,155.9069403703514,155.7952375,1.2198667526245117
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",17,155.56182279729742,155.5002875,1.3921566009521484
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",18,155.28566946156275,155.301375,1.2281298637390137
"{'dhidden': 32, 'batchsize': 128, 'lr': 0.001}",19,155.01234517720323,155.11765,1.14668607711792
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",0,260.96606811262046,206.7159875,1.3830409049987793
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",1,206.96507233776933,206.453225,1.0901780128479004
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",2,206.8615444599944,206.193125,1.0791816711425781
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",3,206.82489079020007,206.218475,1.0849480628967285
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",4,206.8294614346686,205.9975375,1.094163417816162
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",5,206.82089609150202,206.110575,1.0821616649627686
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",6,206.80122362418655,205.97915,1.0687661170959473
