flt_nm,mjd,fluxcal,fluxcalerr,processing
473,57311.355,10.7728405,3.2093804,raw
473,57315.229,43.308388,4.732176,raw
473,57319.146,117.15708,22.289137,raw
473,57325.12,165.95206,13.765832,raw
473,57329.211,185.85931,5.351644,raw
473,57332.074,183.95006,5.8791146,raw
473,57339.295,124.334076,4.6835775,raw
473,57345.312,84.77306,5.304215,raw
473,57365.182,17.27698,2.3189828,raw
473,57401.136,12.078648,2.543445,raw
784,57315.234,61.2973,8.327403,raw
784,57319.151,123.24659,15.417692,raw
784,57325.124,181.11739,9.503035,raw
784,57329.216,212.82999,8.567596,raw
784,57332.079,232.67383,8.202187,raw
784,57339.3,228.1736,8.996366,raw
784,57345.316,189.42883,9.303567,raw
784,57355.242,125.41538,8.322037,raw
784,57365.187,107.79205,4.256348,raw
784,57372.241,96.33899,9.696965,raw
784,57375.05,55.785816,8.301721,raw
784,57385.153,55.267296,5.691257,raw
784,57389.154,38.121887,8.08642,raw
784,57394.162,38.096527,9.235374,raw
784,57401.14,54.552807,4.976203,raw
784,57408.069,35.975266,8.8629465,raw
784,57425.151,51.370018,10.524032,raw
642,57311.357,20.435095,4.6217947,raw
642,57315.232,51.712387,6.5602427,raw
642,57319.149,163.2997,19.770086,raw
642,57325.122,200.04887,11.133126,raw
642,57329.213,243.01494,6.422583,raw
642,57332.077,250.89531,6.722811,raw
642,57339.297,224.21323,6.14742,raw
642,57345.314,186.4676,7.511695,raw
642,57355.24,99.36227,8.422972,raw
642,57365.185,53.014637,3.2941067,raw
642,57375.048,28.960245,8.406947,raw
642,57385.151,23.316063,5.5447016,raw
642,57389.152,21.140978,5.7150254,raw
642,57394.16,20.71975,6.1270514,raw
642,57401.138,12.737583,3.395867,raw
642,57425.149,23.866062,7.3716946,raw
926,57315.236,54.072083,11.382312,raw
926,57319.153,99.705345,15.464762,raw
926,57325.127,156.37746,9.7428875,raw
926,57329.218,187.05138,11.601134,raw
926,57332.081,183.68182,10.506066,raw
926,57339.302,179.30217,12.035374,raw
926,57345.319,105.725945,12.147361,raw
926,57355.245,75.5295,8.924542,raw
926,57365.19,85.34393,5.3201823,raw
926,57375.053,72.75614,9.766965,raw
926,57385.156,58.295277,6.939578,raw
926,57389.156,45.23306,11.385712,raw
926,57401.143,44.581806,6.598622,raw
926,57408.072,36.29805,9.011639,raw
473,57311.355,10.724724580481762,3.1711811213163075,gp
473,57312.26187878788,16.940173817873767,3.812728861911387,gp
473,57313.16875757576,24.09460408463872,4.6814435742907055,gp
473,57314.07563636364,32.3403641803251,4.697208724325639,gp
473,57314.98251515152,41.84094719911284,4.409205212475074,gp
473,57315.8893939394,52.72888343696956,5.238909235558889,gp
473,57316.796272727275,64.74147363780182,6.992770777890825,gp
473,57317.703151515154,77.40316829247743,8.78509734627273,gp
473,57318.61003030303,90.24129067115031,10.303273271473005,gp
473,57319.51690909091,102.78779772607712,11.509941438241942,gp
473,57320.42378787879,114.75341689724166,12.37034767660968,gp
473,57321.33066666667,126.07375157120715,12.774656528790727,gp
473,57322.23754545455,136.68909994168027,12.673514308471741,gp
473,57323.144424242426,146.52838261314392,12.09478076045148,gp
473,57324.051303030305,155.50805729978913,11.153256178052283,gp
473,57324.95818181818,163.53092103510127,10.061281185350767,gp
473,57325.86506060606,170.4907963854004,9.051035587310967,gp
473,57326.77193939394,176.30660876975114,7.994449039736563,gp
473,57327.67881818182,180.89731367363595,6.7194185381119516,gp
473,57328.5856969697,184.16341850881048,5.366121375426903,gp
473,57329.49257575758,185.98624534971412,4.593861476504984,gp
473,57330.399454545455,186.26451142908397,4.640387604287575,gp
473,57331.306333333334,184.938133679745,4.795114018409393,gp
473,57332.21321212121,181.93030571603322,5.2877130351376,gp
473,57333.12009090909,177.25933711152408,6.537024900264943,gp
473,57334.02696969697,171.22266585442458,7.843823875069807,gp
473,57334.93384848485,164.14506078483535,8.673049298503166,gp
