mjd,fluxcal,flt,fluxcalerr,processing
57356.096,56.513737,g,3.189423,raw
57366.054,77.80201,g,3.8260472,raw
57373.051,69.479706,g,6.464703,raw
57385.107,67.32596,g,5.821991,raw
57389.072,63.938877,g,5.1591816,raw
57396.059,69.12244,g,4.6265035,raw
57403.059,52.549805,g,6.2512836,raw
57427.063,47.290874,g,7.358446,raw
57346.029,29.310892,i,7.896569,raw
57356.1,43.108177,i,5.194488,raw
57366.058,56.865444,i,6.2209835,raw
57373.055,83.711494,i,7.214265,raw
57385.111,86.31456,i,6.1380353,raw
57389.076,90.43891,i,8.1634245,raw
57396.063,94.19616,i,8.1023855,raw
57403.064,86.016884,i,7.164246,raw
57427.068,94.90592,i,13.174184,raw
57346.027,35.85592,r,7.6612406,raw
57356.098,52.03893,r,3.8767333,raw
57366.056,63.57187,r,4.467155,raw
57373.053,68.87089,r,6.0102253,raw
57385.109,98.00868,r,5.514855,raw
57389.074,83.65103,r,5.967659,raw
57396.061,86.82687,r,5.8273163,raw
57403.062,84.93406,r,6.2588735,raw
57427.066,60.674282,r,9.644696,raw
57366.061,33.747486,z,7.8579144,raw
57373.058,47.47495,z,8.3094,raw
57385.114,94.60159,z,7.4181595,raw
57389.079,101.38856,z,13.479596,raw
57396.066,114.14184,z,9.22705,raw
57403.066,117.94018,z,7.846333,raw
57427.07,80.96169,z,16.441923,raw
57356.096,58.266234372635836,g,3.048506160151867,gp
57356.812838383834,59.50001558057079,g,2.9156232746105064,gp
57357.52967676768,60.74869154705709,g,2.8565637802806703,gp
57358.24651515151,62.001665046618314,g,2.851180938902455,gp
57358.96335353535,63.24833364491201,g,2.879020377106626,gp
57359.68019191919,64.47808163719583,g,2.9224992930982325,gp
57360.39703030303,65.68027197792526,g,2.968363635171959,gp
57361.113868686865,66.84423819692324,g,3.0078392975726937,gp
57361.83070707071,67.95927629723519,g,3.036186288630902,gp
57362.547545454545,69.01463663054528,g,3.0521332425958367,gp
57363.26438383838,69.99951574530951,g,3.0573885044355467,gp
57363.98122222222,70.9030482031817,g,3.056244024186388,gp
57364.69806060606,71.71429835898562,g,3.0551906794554253,gp
57365.4148989899,72.42225209976323,g,3.0624112898282667,gp
57366.13173737373,73.01581308379127,g,3.0870041392427394,gp
57366.848575757576,73.48862586824202,g,3.1348233868799613,gp
57367.56541414141,73.84825487339094,g,3.2019717249728896,gp
57368.28225252525,74.10469603299566,g,3.2827066895544905,gp
57368.99909090909,74.26785829197479,g,3.3718239089918156,gp
57369.71592929293,74.34757094299857,g,3.4651255881778495,gp
57370.432767676764,74.35359091672808,g,3.5596212498732767,gp
57371.14960606061,74.29561002976834,g,3.653538833799382,gp
57371.866444444444,74.18326219437608,g,3.746211300077072,gp
57372.58328282828,74.02613059393366,g,3.837879448187195,gp
57373.30012121212,73.83370697524629,g,3.9293888050438657,gp
57374.01695959596,73.61284818095942,g,4.019652402107359,gp
57374.733797979796,73.36650167052085,g,4.104439242431115,gp
57375.45063636363,73.09726906657102,g,4.179685185248072,gp
57376.167474747475,72.80772481263011,g,4.241912931256103,gp
57376.88431313131,72.50041812572317,g,4.288302603051217,gp
57377.60115151515,72.17787493299329,g,4.31672107725088,gp
57378.31798989899,71.84259979347007,g,4.325731833431374,gp
57379.03482828283,71.49707780607969,g,4.31459994044704,gp
57379.75166666666,71.14377650486654,g,4.283301408983796,gp
57380.46850505051,70.78514774263886,g,4.232542238885846,gp
57381.18534343434,70.42362956397892,g,4.163789377318665,gp
57381.90218181818,70.0616480687338,g,4.0793125486144834,gp
57382.61902020202,69.70161926701371,g,3.9822313692969464,gp
57383.33585858586,69.34595092675454,g,3.87655493015984,gp
57384.052696969695,68.99704441487347,g,3.7671896834526524,gp
57384.76953535354,68.65729653304493,g,3.6598754527569723,gp
57385.486373737374,68.32904599896892,g,3.5608214598417147,gp
57386.20321212121,68.01351655405574,g,3.4731325397101385,gp
57386.92005050505,67.71089973508697,g,3.3969956472085694,gp
57387.63688888889,67.42134831565158,g,3.332959787972869,gp
57388.353727272726,67.14501542010294,g,3.2822003278195013,gp
57389.07056565656,66.88205467755597,g,3.246488861501388,gp
57389.787404040406,66.63143685256568,g,3.226665841924906,gp
57390.50424242424,66.38736986914523,g,3.218571910827649,gp
57391.22108080808,66.1428594880465,g,3.217450189086146,gp
57391.93791919192,65.89090195361428,g,3.219830982430631,gp
57392.65475757576,65.62447881698881,g,3.223894021847647,gp
57393.371595959594,65.33655174933324,g,3.229653371207282,gp
57394.08843434344,65.02005734233558,g,3.2389936857410286,gp
57394.80527272727,64.66790189300423,g,3.2555580866377674,gp
57395.52211111111,64.27295616984611,g,3.284457493357903,gp
57396.23894949495,63.82809136769379,g,3.3317324247499496,gp
57396.95578787879,63.33106865723016,g,3.4005135964736373,gp
57397.672626262625,62.789161068509884,g,3.487760292961284,gp
57398.38946464646,62.21069396726034,g,3.5901464710502715,gp
57399.106303030305,61.60395683099637,g,3.705214585790593,gp
57399.82314141414,60.97720949630002,g,3.8316013335605383,gp
57400.53997979798,60.338688387892375,g,3.9690767682491246,gp
57401.25681818182,59.69661273317797,g,4.1184432798385835,gp
57401.97365656566,59.059190765525955,g,4.281331832912289,gp
57402.69049494949,58.4346259199084,g,4.459924144998033,gp
57403.407333333336,57.83094684941068,g,4.656482045023685,gp
57404.12417171717,57.25185658904752,g,4.869643931102308,gp
57404.84101010101,56.69657338422394,g,5.0943091446795945,gp
57405.55784848485,56.164116681799214,g,5.325412797116547,gp
57406.27468686869,55.65351506565344,g,5.558281343891633,gp
57406.991525252524,55.16380560760024,g,5.788717294615,gp
57407.70836363637,54.69403322164692,g,6.0130203682636,gp
57408.425202020204,54.24325002123794,g,6.227973073148237,gp
57409.14204040404,53.810514678983736,g,6.430809481962004,gp
57409.858878787876,53.39489178876431,g,6.61917870840002,gp
57410.57571717172,52.99545122964025,g,6.791109611102113,gp
57411.292555555556,52.61126753141832,g,6.944980142036365,gp
57412.00939393939,52.241419241353924,g,7.079492966267082,gp
57412.726232323235,51.88498829177195,g,7.193658039934953,gp
57413.44307070707,51.54105936825454,g,7.28678241149135,gp
57414.15990909091,51.208719277934506,g,7.358467391820223,gp
57414.87674747475,50.887056317727,g,7.408613288043543,gp
57415.59358585859,50.57515964202173,g,7.437432030791117,gp
57416.31042424242,50.272118629514466,g,7.445468188059516,gp
57417.02726262627,49.97702224891202,g,7.43362900000446,gp
57417.7441010101,49.688958423060285,g,7.403224126151298,gp
57418.46093939394,49.407013391213695,g,7.356015678055706,gp
57419.17777777778,49.13027106906247,g,7.294278674611956,gp
57419.89461616162,48.857812406225435,g,7.220871089971246,gp
57420.611454545455,48.58871474076125,g,7.139310865061153,gp
57421.32829292929,48.322051150430525,g,7.053854252437001,gp
57422.045131313134,48.0568898003329,g,6.969565311839485,gp
57422.76196969697,47.79229328652616,g,6.892360186693851,gp
57423.47880808081,47.52731797531328,g,6.8290026237599575,gp
57424.19564646465,47.26101333780423,g,6.78702112722461,gp
57424.912484848486,46.992421279412156,g,6.774517242766775,gp
57425.62932323232,46.720575463897376,g,6.799844414825994,gp
57426.346161616166,46.44450063158445,g,6.871162270195569,gp
57427.063,46.16321191143584,g,6.9959104604285,gp
57346.029,29.765788424695533,i,6.2335212619590115,gp
57346.84757575758,30.803563686263566,i,5.906789551670112,gp
57347.66615151516,31.864560991990743,i,5.609701588690778,gp
57348.48472727273,32.948894083911235,i,5.3400975175889025,gp
57349.303303030305,34.05668479851829,i,5.095855199083558,gp
57350.12187878788,35.188063071822164,i,4.87503307754816,gp
57350.94045454546,36.34316694694962,i,4.676012361361433,gp
57351.75903030303,37.52214258379501,i,4.497625632529817,gp
57352.57760606061,38.725144271238165,i,4.339257574412603,gp
57353.396181818185,39.95233444141492,i,4.200902192238771,gp
57354.21475757576,41.20388368645885,i,4.083159782016612,gp
57355.03333333333,42.47997077754894,i,3.9871569808868474,gp
57355.85190909091,43.780782686085146,i,3.9143766660618144,gp
57356.67048484849,45.10640783812089,i,3.8660070477877087,gp
57357.489060606065,46.4558286462046,i,3.8390358535114744,gp
57358.307636363636,47.82737246615673,i,3.8280535590172415,gp
57359.12621212121,49.219364890051594,i,3.828033593169227,gp
57359.94478787879,50.63013779847754,i,3.8346760465267473,gp
57360.76336363637,52.0580286336765,i,3.84459790349658,gp
57361.58193939394,53.5013796741519,i,3.855421863080163,gp
57362.400515151516,54.95853731044622,i,3.865790284969771,gp
57363.21909090909,56.42785132194656,i,3.875326473284753,gp
57364.03766666667,57.907674154593025,i,3.8845565672152254,gp
57364.85624242424,59.39636019907165,i,3.8947960146520066,gp
57365.67481818182,60.892265069484175,i,3.9079974159156676,gp
57366.493393939396,62.393598864362986,i,3.9264322029616907,gp
57367.31196969697,63.89566704634959,i,3.950193772729697,gp
57368.13054545454,65.39110041672762,i,3.9773584177887886,gp
57368.94912121212,66.87242499317287,i,4.006248274857506,gp
57369.7676969697,68.33215847842769,i,4.035616360519511,gp
57370.586272727276,69.7628071922782,i,4.06469635172352,gp
57371.404848484846,71.15686299981104,i,4.093206386038504,gp
57372.223424242424,72.50680023484699,i,4.121312229174075,gp
57373.042,73.80507261809062,i,4.149552862402268,gp
57373.86057575758,75.04554788172143,i,4.178128865350688,gp
57374.679151515156,76.22809918235404,i,4.2049040576811,gp
57375.49772727273,77.3541547949759,i,4.227357416750564,gp
57376.316303030304,78.42511720636607,i,4.243364754582793,gp
57377.13487878788,79.4423636273048,i,4.251281958213231,gp
57377.95345454546,80.40724650311958,i,4.250001393362346,gp
57378.77203030303,81.32109401620845,i,4.238990993956885,gp
57379.59060606061,82.18521058114871,i,4.21832300185298,gp
57380.409181818184,83.00087733211201,i,4.188696280263824,gp
57381.22775757576,83.76935260306189,i,4.151452738786079,gp
57382.04633333333,84.49187240072946,i,4.108584573635703,gp
57382.86490909091,85.16965087042028,i,4.06272460048357,gp
57383.68348484849,85.80388075503708,i,4.0171070407119975,gp
57384.502060606064,86.39573384716435,i,3.975481455351144,gp
57385.320636363635,86.94635968337784,i,3.9419459410363196,gp
57386.13921212121,87.45668810694148,i,3.919145106496019,gp
57386.95778787879,87.92724797042789,i,3.9066983868839813,gp
57387.77636363637,88.35850568311635,i,3.9040065550032303,gp
57388.59493939394,88.75090829979752,i,3.910712068295653,gp
57389.413515151515,89.10489600645695,i,3.926723929090668,gp
57390.23209090909,89.42133592742205,i,3.951074745776412,gp
57391.05066666667,89.70163736152058,i,3.98168993095918,gp
57391.86924242424,89.94722714666155,i,4.01694217941185,gp
57392.68781818182,90.15951454019189,i,4.055865772245926,gp
57393.506393939395,90.33989177553805,i,4.098217842921506,gp
57394.32496969697,90.48973461339244,i,4.144488739312239,gp
57395.14354545454,90.61040288752501,i,4.195866081484366,gp
57395.96212121212,90.70324104545944,i,4.25415376169412,gp
57396.7806969697,90.76986266997645,i,4.3212990954993264,gp
57397.599272727275,90.81351657560248,i,4.397604493261939,gp
57398.417848484845,90.83803264937458,i,4.483027105507127,gp
57399.23642424242,90.84723020284082,i,4.577949252600626,gp
57400.055,90.84491871799658,i,4.683181009836679,gp
57400.87357575758,90.83489937850031,i,4.7999188011537965,gp
57401.692151515155,90.82096659801988,i,4.929666401539123,gp
57402.510727272725,90.80690954616797,i,5.074124754059735,gp
57403.3293030303,90.79648848260327,i,5.235031256178622,gp
57404.14787878788,90.79184449423859,i,5.412301005979969,gp
57404.96645454546,90.79254837016755,i,5.602987266560297,gp
57405.78503030303,90.79794091525893,i,5.803962086185127,gp
57406.603606060606,90.80736115048445,i,6.012293133113148,gp
57407.42218181818,90.8201460469605,i,6.225324837275407,gp
57408.24075757576,90.83563025899429,i,6.44072270420727,gp
57409.05933333333,90.85314585607242,i,6.656492083888356,gp
57409.87790909091,90.87202205369066,i,6.870980648211121,gp
57410.696484848486,90.89158494296512,i,7.0828714454396025,gp
57411.51506060606,90.91115721892223,i,7.291171245083606,gp
57412.33363636363,90.93005790740175,i,7.495197175390645,gp
57413.15221212121,90.94760209048395,i,7.694563396695186,gp
57413.97078787879,90.9631006303549,i,7.889168671595163,gp
57414.789363636366,90.97585989153282,i,8.07918509200204,gp
57415.607939393936,90.98518146136811,i,8.265047818258756,gp
57416.426515151514,90.99036186873396,i,8.447445412586365,gp
57417.24509090909,90.99069230082011,i,8.627310163502347,gp
57418.06366666667,90.98545831794927,i,8.805807674257137,gp
57418.88224242424,90.97393956632536,i,8.984324914630564,gp
57419.70081818182,90.95540948862859,i,9.164455911486254,gp
57420.519393939394,90.92913503237162,i,9.347984285997592,gp
57421.33796969697,90.89437635592743,i,9.536861945696398,gp
57422.15654545454,90.85038653214137,i,9.733183418194967,gp
57422.97512121212,90.79641124943214,i,9.939155576560292,gp
57423.7936969697,90.73168851030684,i,10.157062849786126,gp
57424.612272727274,90.65544832718062,i,10.389228417322128,gp
57425.430848484844,90.56691241541904,i,10.637972319000726,gp
57426.24942424242,90.46529388351945,i,10.905567821266724,gp
57427.068,90.3497969203114,i,11.194197708685925,gp
57346.027,38.568141488567136,r,5.842646865845651,gp
57346.84557575758,39.52543411346026,r,5.497105717658644,gp
57347.66415151516,40.5012891225108,r,5.1781490391436655,gp
57348.48272727273,41.49378406708517,r,4.88345812645007,gp
57349.301303030305,42.50100239356915,r,4.610891818470654,gp
57350.11987878788,43.521032386671614,r,4.358679703864765,gp
57350.93845454546,44.55196611429231,r,4.125619281248775,gp
57351.75703030303,45.59189837349443,r,3.9112632772170977,gp
57352.57560606061,46.63892563710663,r,3.7160778921334825,gp
57353.394181818185,47.69114500057804,r,3.5415431219781763,gp
57354.21275757576,48.7466531288068,r,3.3901519872819565,gp
57355.03133333333,49.803545202211446,r,3.265250428491855,gp
57355.84990909091,50.85991386200376,r,3.1706562572985173,gp
57356.66848484849,51.91401198834009,r,3.1094277715322947,gp
57357.487060606065,52.965797644848536,r,3.077587722972593,gp
57358.305636363635,54.016241289061746,r,3.066992301802324,gp
57359.12421212121,55.06632262303978,r,3.069926369028164,gp
57359.94278787879,56.11701755534578,r,3.0798600301583723,gp
57360.76136363637,57.16929863534907,r,3.0918506081939574,gp
57361.57993939394,58.22413548555239,r,3.1027023370850078,gp
57362.398515151515,59.282495232515686,r,3.1109696180280673,gp
57363.21709090909,60.3453429361055,r,3.116868570482131,gp
57364.03566666667,61.413642017653416,r,3.122126237697008,gp
57364.85424242424,62.48835468675638,r,3.129764063069977,gp
57365.67281818182,63.570442367285594,r,3.143789933210416,gp
57366.491393939395,64.66083369914044,r,3.1685661268683556,gp
57367.30996969697,65.75981244924805,r,3.2045223861927288,gp
57368.12854545454,66.86706908471457,r,3.2484271568233494,gp
57368.94712121212,67.98227185852072,r,3.297280716183952,gp
57369.7656969697,69.1050886657299,r,3.3487173344594647,gp
57370.584272727276,70.23518679751123,r,3.4011351971633053,gp
57371.402848484846,71.37223269413406,r,3.4537166901051677,gp
57372.22142424242,72.51589169724623,r,3.506361839372554,gp
57373.04,73.6658278009793,r,3.559550196264556,gp
57373.85857575758,74.82062825675797,r,3.613348881607359,gp
57374.677151515156,75.97436732416054,r,3.6647389997982507,gp
57375.495727272726,77.1199310929774,r,3.710196021797918,gp
57376.3143030303,78.25019635156377,r,3.7467282034052434,gp
57377.13287878788,79.35802683379745,r,3.77197629632759,gp
57377.95145454546,80.43626945593307,r,3.784269197824754,gp
57378.77003030303,81.47775054605874,r,3.782655839665055,gp
57379.588606060606,82.47527206508855,r,3.7669275218541984,gp
57380.407181818184,83.42160781748318,r,3.737639151764799,gp
57381.22575757576,84.30949965037547,r,3.6961325225996995,gp
57382.04433333333,85.13165363963664,r,3.644559233524701,gp
57382.86290909091,85.88073626140897,r,3.585894198253065,gp
57383.68148484849,86.54937054737705,r,3.523922110012309,gp
57384.500060606064,87.1301322226604,r,3.463168772106221,gp
57385.318636363634,87.61559495273376,r,3.408723043304474,gp
57386.13721212121,88.00387770187568,r,3.3641528054495002,gp
57386.95578787879,88.30373976558336,r,3.3296807904273518,gp
57387.77436363637,88.52509295983651,r,3.30540515313684,gp
57388.59293939394,88.67780263450963,r,3.2918182818290718,gp
57389.411515151514,88.77160796773867,r,3.2897679032921476,gp
57390.23009090909,88.81314331976068,r,3.298456693886803,gp
57391.04866666667,88.80515107854134,r,3.3150255954073824,gp
57391.86724242424,88.75009660321597,r,3.337195576460583,gp
57392.68581818182,88.6504150039239,r,3.36366176692026,gp
57393.504393939395,88.5085124038686,r,3.3942128686604045,gp
57394.32296969697,88.32676718937921,r,3.4297483081368805,gp
57395.14154545454,88.10753124844946,r,3.4722004258539076,gp
57395.96012121212,87.85313119824762,r,3.5243609336102293,gp
57396.7786969697,87.56570282189188,r,3.5890180238614255,gp
57397.597272727275,87.24639027535079,r,3.6658615002781163,gp
57398.415848484845,86.89596655945769,r,3.7537513446773523,gp
57399.23442424242,86.51518230994378,r,3.852113842222749,gp
57400.053,86.10476667188493,r,3.9610086775561655,gp
57400.87157575758,85.66542770193931,r,4.0811065495727865,gp
57401.690151515155,85.19785276161076,r,4.213594430101059,gp
57402.508727272725,84.70270890182972,r,4.360023531410553,gp
57403.3273030303,84.18064751563602,r,4.522082536329158,gp
57404.14587878788,83.6325749654868,r,4.6993201489203615,gp
57404.96445454546,83.05981471912791,r,4.887883108888113,gp
57405.78303030303,82.46371069252861,r,5.083765398130183,gp
57406.601606060605,81.84558919312327,r,5.283267688138269,gp
57407.42018181818,81.2067596450141,r,5.4830849304916915,gp
57408.23875757576,80.54851530692774,r,5.680343182321318,gp
57409.05733333333,79.87213398313264,r,5.872605410322003,gp
57409.87590909091,79.17887872773252,r,6.057860691674177,gp
57410.694484848485,78.46999854255417,r,6.234506404169008,gp
57411.51306060606,77.74672906881263,r,6.4013293134905185,gp
57412.33163636363,77.01029327304501,r,6.557488917555297,gp
57413.15021212121,76.2619021273246,r,6.702504752174432,gp
57413.96878787879,75.5027552842423,r,6.836248321268896,gp
57414.787363636366,74.73404174682877,r,6.958939655805394,gp
57415.605939393936,73.95694053366869,r,7.071148054805666,gp
57416.42451515151,73.1726213394276,r,7.173796197881083,gp
57417.24309090909,72.38224519130875,r,7.268166460166539,gp
57418.06166666667,71.5869651013286,r,7.355907857240036,gp
57418.88024242424,70.78792671491306,r,7.439041578049256,gp
57419.698818181816,69.9862689560396,r,7.519962539669101,gp
57420.51739393939,69.18312466917308,r,7.601433871607049,gp
57421.33596969697,68.3796212581333,r,7.686570814177373,gp
57422.15454545454,67.57688132239494,r,7.778810356912325,gp
57422.97312121212,66.77602329078724,r,7.881863256977265,gp
57423.791696969696,65.9781620530804,r,7.999646078182676,gp
57424.610272727274,65.18440958961223,r,8.136192723132297,gp
57425.428848484844,64.39587559917571,r,8.295547564437268,gp
57426.24742424242,63.61366812540333,r,8.481645414375812,gp
57427.066,62.838894182123205,r,8.69818660435355,gp
57366.061,33.490742907714946,z,6.953723007553078,gp
57366.67725252525,34.862811340378954,z,6.6180261388510155,gp
57367.293505050504,36.274449037298595,z,6.35996864635672,gp
57367.90975757576,37.727177495619046,z,6.16978535215276,gp
57368.52601010101,39.22254134155072,z,6.036840874808596,gp
57369.142262626265,40.762109190104795,z,5.950679793366775,gp
57369.758515151516,42.34747451610322,z,5.901966679990322,gp
57370.37476767677,43.98025653658328,z,5.8831590177660456,gp
57370.99102020202,45.6621011054269,z,5.888854750345243,gp
57371.60727272728,47.394681620241485,z,5.915832426896453,gp
57372.22352525253,49.17969994197682,z,5.9628366242716195,gp
57372.83977777778,51.018887328048066,z,6.030165094311742,gp
57373.45603030303,52.91364189442176,z,6.118584890129953,gp
57374.07228282828,54.860831834423706,z,6.222761505650111,gp
57374.68853535354,56.854244144896896,z,6.33342048145181,gp
57375.30478787879,58.887630415383086,z,6.442149463945554,gp
57375.92104040404,60.954762397355765,z,6.541731008149865,gp
57376.53729292929,63.049427681617175,z,6.626233979382343,gp
57377.153545454545,65.16542538254866,z,6.691013928700736,gp
57377.769797979796,67.29656182717187,z,6.73267117992851,gp
57378.386050505054,69.43664624632807,z,6.748998956880269,gp
57379.002303030305,71.579486466379,z,6.7389409068039,gp
57379.61855555556,73.7188845988766,z,6.702568419857485,gp
57380.23480808081,75.84863272630615,z,6.641082166743102,gp
57380.85106060606,77.96250858134535,z,6.556837765519034,gp
57381.46731313132,80.05427121808593,z,6.453390846924834,gp
57382.08356565657,82.11765667219512,z,6.335550378255419,gp
57382.69981818182,84.14637360890613,z,6.209419313836264,gp
57383.31607070707,86.13409895547098,z,6.0823873360517124,gp
57383.93232323232,88.07447351694054,z,5.963022337555817,gp
57384.54857575757,89.96109757222588,z,5.860790483049118,gp
57385.16482828283,91.78752711744714,z,5.785530370066255,gp
57385.78108080808,93.54877728453006,z,5.743718399853922,gp
57386.397333333334,95.24452951515913,z,5.7316590218263554,gp
57387.013585858585,96.87533222385568,z,5.743324222968305,gp
57387.62983838384,98.44168072055278,z,5.772810825669265,gp
57388.246090909095,99.94401735983989,z,5.814833900584017,gp
57388.862343434346,101.3827316625152,z,5.865021197102901,gp
57389.4785959596,102.75814430512624,z,5.9198258626038385,gp
57390.09484848485,104.07032310501957,z,5.974291818564125,gp
57390.7111010101,105.31914751593058,z,6.022952456574396,gp
57391.32735353535,106.50444141373085,z,6.061622737014966,gp
57391.94360606061,107.62597541165972,z,6.087528440166287,gp
57392.55985858586,108.68346658076864,z,6.0993438168071705,gp
57393.17611111111,109.67657814193741,z,6.097195554198158,gp
57393.79236363636,110.60491912943588,z,6.0826454194852735,gp
57394.408616161614,111.46804402566363,z,6.058650070329439,gp
57395.02486868687,112.2654523671465,z,6.0294833629659275,gp
57395.641121212124,112.99658832122181,z,6.000594360558019,gp
57396.257373737375,113.66084552808574,z,5.978318490137778,gp
57396.873626262626,114.2579380979064,z,5.966266079462932,gp
57397.48987878788,114.78814435672457,z,5.9630892691276305,gp
57398.10613131313,115.25174412820859,z,5.967800101005948,gp
57398.72238383839,115.6489609207738,z,5.9806572865411844,gp
57399.33863636364,115.97996202445684,z,6.003429209585858,gp
57399.95488888889,116.2448585780792,z,6.039532150365396,gp
57400.57114141414,116.44370560650374,z,6.094025424162342,gp
57401.18739393939,116.57650202817669,z,6.173436929740023,gp
57401.80364646465,116.64319063283486,z,6.285394441533408,gp
57402.4198989899,116.64365802943557,z,6.438059070065022,gp
57403.03615151515,116.57773456424331,z,6.639400538202941,gp
57403.652404040404,116.44561773806525,z,6.894360044555963,gp
57404.268656565655,116.24940833671742,z,7.197009893256707,gp
57404.884909090906,115.99171857857243,z,7.5379476510604775,gp
57405.501161616165,115.67510764023075,z,7.907862533221577,gp
57406.117414141416,115.30208331409705,z,8.298058605444918,gp
57406.73366666667,114.87510369437197,z,8.700719028260707,gp
57407.34991919192,114.39657883640291,z,9.108991637496851,gp
57407.96617171717,113.86887239030153,z,9.516968758934297,gp
57408.58242424243,113.29430320950472,z,9.919614242418477,gp
57409.19867676768,112.675146935286,z,10.31267108924365,gp
57409.81492929293,112.01363755772937,z,10.692568374879746,gp
57410.43118181818,111.31196895427185,z,11.056336686551107,gp
57411.04743434343,110.57229640628006,z,11.40153576356553,gp
57411.663686868684,109.79673809468477,z,11.726195083643798,gp
57412.27993939394,108.98737657516885,z,12.028766737930672,gp
57412.89619191919,108.14626023395923,z,12.308089391606154,gp
57413.512444444445,107.27540472455499,z,12.563362021493406,gp
57414.128696969696,106.376794386571,z,12.79412621877348,gp
57414.74494949495,105.45238364699144,z,13.00025601596114,gp
57415.361202020205,104.50409840488388,z,13.181954373074907,gp
57415.97745454546,103.53383740001678,z,13.339755603254773,gp
57416.59370707071,102.54347356623657,z,13.47453311142716,gp
57417.20995959596,101.53485537016986,z,13.587511846646406,gp
57417.82621212121,100.50980813610859,z,13.680284815127417,gp
57418.44246464646,99.47013535747114,z,13.754832851368702,gp
57419.05871717172,98.41761999583103,z,13.813546581707676,gp
57419.67496969697,97.35402576788778,z,13.859249121777559,gp
57420.29122222222,96.2810984212229,z,13.89521751563622,gp
57420.90747474747,95.20056699935262,z,13.925200254256945,gp
57421.523727272724,94.11414509692064,z,13.953427437627122,gp
57422.13997979798,93.02353210535254,z,13.984609347850139,gp
57422.756232323234,91.93041445004204,z,14.023918525890164,gp
57423.372484848485,90.83646681914574,z,14.076950115449138,gp
57423.98873737374,89.74335338522545,z,14.149655547224453,gp
57424.60498989899,88.65272901980777,z,14.248245903778352,gp
57425.22124242424,87.56624050192791,z,14.37906377570717,gp
57425.8374949495,86.48552772087262,z,14.548426124575569,gp
57426.45374747475,85.41222487418511,z,14.762445269802422,gp
57427.07,84.34796166098907,z,15.026839830537854,gp
