#band: central wavelength of the passband of the observation in nm
#ph: phase of the observation when folded with ogle period
#mag: observed magnitude
#mag_e: error of mag
#hjd_2450000: heliocentric julian date - 2450000
#ph1: phase when folding on ogle period of fundamental radial mode
#ph2: phase when folding on ogle period of first overtone radial mode
#processing: which processing was done to get the datapoint
band,ph,mag,mag_e,hjd_2450000,processing
810,0.0005442172296170611,18.859,0.037,7003.81522,raw
810,0.0029406283174466807,18.86,0.041,6585.82122,raw
810,0.0029479370186891174,18.822,0.04,5574.80729,raw
810,0.004486418882152066,18.784,0.049,5933.7498,raw
550,0.006644734936344321,19.424,0.026,5568.76102,raw
550,0.006644734936344321,19.424,NaN,NaN,raw
810,0.008814263912831343,18.842000000000002,0.045650848842053594,NaN,raw
810,0.009649736055507674,18.881,0.061,5273.49764,raw
810,0.009736034966408624,18.897,0.04,5604.69189,raw
810,0.010886905730836184,18.83811111111111,0.04551220837435949,NaN,raw
810,0.012726106343608181,18.835555555555555,0.044769161012663455,NaN,raw
810,0.014179163845255971,18.881,0.062,5639.55602,raw
810,0.01500614040236946,18.849888888888888,0.058447507313068026,NaN,raw
810,0.016302623007504735,18.764,0.031,6664.80032,raw
810,0.017120073266495537,18.858444444444444,0.05297667201493307,NaN,raw
810,0.018541615892900154,18.83,0.044,6040.47689,raw
810,0.019197993591660634,18.824,0.027,5917.74672,raw
810,0.019202460021713504,18.858111111111114,0.05282623506470176,NaN,raw
810,0.019493433832394658,18.837,0.03,6338.5876,raw
810,0.021528314022563992,18.84455555555556,0.057081325998769805,NaN,raw
810,0.023417738539339754,18.848111111111113,0.06052777140380414,NaN,raw
810,0.023468243547540624,18.951,0.056,6025.53755,raw
810,0.023511814659286756,18.861,0.041,7382.68681,raw
810,0.02385118238371951,18.861689822112435,0.03692302984506836,NaN,raw
810,0.023851182383719513,18.86168982211244,0.03648082191878102,NaN,raw
810,0.023851182383719513,18.86168982211244,0.03605413096046973,NaN,raw
810,0.02507250373370577,18.858999999999998,0.05167204273105568,NaN,raw
810,0.02652387461037304,18.864444444444445,0.050808737218886034,NaN,raw
810,0.027929331843552063,18.864,0.0512225536263085,NaN,raw
810,0.02839121685246937,18.878,0.038,6960.78055,raw
550,0.028696073655150183,19.44134077380952,0.02011268412501391,NaN,raw
550,0.028696073655150183,19.44134077380952,0.017418095390554042,NaN,raw
550,0.028696073655150183,19.44134077380952,0.015579218132741835,NaN,raw
810,0.02932545017938537,18.87277777777778,0.05276309737349103,NaN,raw
810,0.030668720974063035,18.775,0.11,5845.89126,raw
810,0.03092649328735004,18.86788888888889,0.04624511986265312,NaN,raw
810,0.031183984496237827,18.913,0.048,5521.81203,raw
810,0.031195509756798856,18.862,0.037,7283.79374,raw
810,0.03160395378290559,18.879,0.036,5593.67172,raw
810,0.03184710869027185,18.82,0.052,5609.68012,raw
810,0.032058498854894424,18.916,0.032,5828.81622,raw
810,0.03323851072754122,18.873777777777782,0.04857411290434961,NaN,raw
810,0.03501177684928633,18.872,0.04869291529576006,NaN,raw
810,0.036834548498518416,18.885555555555555,0.03265390907346013,NaN,raw
810,0.03787763151922263,18.907,0.035,5911.70578,raw
810,0.03866732439728225,18.88329974160207,0.03118941383682405,NaN,raw
810,0.04069302185782423,18.88452196382429,0.030457342144767308,NaN,raw
810,0.041917499200224424,18.887393717352886,0.04499278003159507,NaN,raw
810,0.04276086529718259,18.88653488372093,0.030644851928220557,NaN,raw
810,0.044319971621007426,18.914,0.037,6976.79453,raw
810,0.044350611948175356,18.862,0.032,6548.83896,raw
550,0.04496932004750913,19.456363095238096,0.023105568841903592,NaN,raw
810,0.045092632649937736,18.895253229974163,0.017833287842659553,NaN,raw
810,0.04707366581715178,18.897,0.042,6929.83779,raw
810,0.04744337996642815,18.88614211886305,0.02529483110954815,NaN,raw
810,0.04767896758511237,18.892697674418606,0.06280564688128937,NaN,raw
810,0.04918016504383398,18.886253229974166,0.025399883115005076,NaN,raw
810,0.04942678690167668,18.873,0.036,5557.74829,raw
810,0.05021454473713083,18.89711627906977,0.06692682902220835,NaN,raw
810,0.050418393034407115,18.88486821705426,0.02399899436779103,NaN,raw
810,0.051941761385540734,18.889723514211887,0.023201184220246317,NaN,raw
810,0.05283301486506812,18.898465116279073,0.06674519737929063,NaN,raw
810,0.053215224703308195,18.834,0.04,5963.64932,raw
810,0.05343831590726134,18.890979328165376,0.023938439177611223,NaN,raw
810,0.053508697215875145,18.908,0.055,7120.51688,raw
810,0.05514338853777953,18.892687338501293,0.024615202795047298,NaN,raw
810,0.0554640235361656,18.90153488372093,0.06617773645095376,NaN,raw
550,0.05652550470040296,19.461,0.023,5859.77433,raw
550,0.05652550470040296,19.461,NaN,NaN,raw
810,0.056713385277091986,18.89035400516796,0.027536643509569053,NaN,raw
810,0.05806092710837791,18.9056976744186,0.06420893532379508,NaN,raw
810,0.058402563549944206,18.89177519379845,0.028250102303379824,NaN,raw
550,0.05875877009088981,19.466625,0.006495190528383535,NaN,raw
550,0.05875877009088981,19.466625,0.005625000000000213,NaN,raw
550,0.05875877009088981,19.466625,0.005031152949374717,NaN,raw
810,0.05930973888553879,18.91287446752135,0.036457855425404764,NaN,raw
810,0.05930973888553879,18.91287446752135,0.036021218651223416,NaN,raw
810,0.05930973888553879,18.91287446752135,0.03559990335465335,NaN,raw
810,0.05992338816468057,18.904612403100778,0.04974377969326382,NaN,raw
810,0.060542656512637245,18.908302325581392,0.06544300860607874,NaN,raw
550,0.06099203548137666,19.47225,0.037562170686299835,NaN,raw
550,0.06099203548137666,19.47225,NaN,NaN,raw
