mjd,fluxcal,flt,fluxcalerr,processing
57345.255,27.046188,g,2.1864367,raw
57356.135,42.633156,g,2.2320793,raw
57365.196,50.234097,g,1.2868444,raw
57372.127,49.006878,g,1.6484807,raw
57376.172,52.116524,g,6.439754,raw
57385.162,34.58981,g,3.1096318,raw
57389.14,34.500042,g,2.462745,raw
57394.171,28.94766,g,2.4915211,raw
57399.177,20.73613,g,2.4940999,raw
57406.046,14.47048,g,4.45218,raw
57345.286,22.434643,i,2.6207848,raw
57349.244,28.79938,i,4.255551,raw
57356.144,29.991432,i,1.733342,raw
57365.221,40.474625,i,1.1455508,raw
57372.153,39.6456,i,2.2945898,raw
57387.108,36.842514,i,1.4542221,raw
57391.169,33.56211,i,6.1602497,raw
57397.091,34.468952,i,2.145695,raw
57404.045,31.505781,i,2.0499249,raw
57425.087,29.182352,i,2.7935574,raw
57345.264,26.140835,r,1.7815429,raw
57356.079,39.914165,r,1.1901135,raw
57365.205,48.39384,r,1.0112977,raw
57372.137,46.828262,r,1.7371155,raw
57378.046,48.49801,r,3.1408226,raw
57385.171,45.062756,r,2.0111153,raw
57389.163,41.964996,r,1.8705076,raw
57395.159,36.00768,r,2.8241313,raw
57402.11,29.109604,r,1.3112726,raw
57408.092,40.601887,r,4.3818145,raw
57408.092,29.908598,r,3.670587,raw
57426.118,21.867552,r,2.5186553,raw
57346.046,24.9599,z,2.5542762,raw
57355.251,32.618603,z,2.8036094,raw
57359.22,49.89884,z,13.668535,raw
57365.136,36.229244,z,1.6489375,raw
57372.176,36.574318,z,2.966102,raw
57378.143,41.8486,z,2.8005767,raw
57387.132,36.150894,z,2.2890937,raw
57394.097,37.456013,z,3.7216606,raw
57401.076,34.05598,z,1.792509,raw
57406.117,33.223156,z,3.2827055,raw
57426.072,25.99879,z,3.565727,raw
57345.255,27.63985147380012,g,2.0995497610344245,gp
57345.86905050505,28.438488777948876,g,2.023777654991933,gp
57346.4831010101,29.254555114541517,g,1.9919358747207767,gp
57347.09715151515,30.085572230277776,g,1.9927630120402116,gp
57347.7112020202,30.929068795046177,g,2.0145823659513424,gp
57348.325252525254,31.782578545619984,g,2.0469017826891847,gp
57348.9393030303,32.64363843133114,g,2.0812223255419253,gp
57349.55335353535,33.50978676085407,g,2.1111929989154854,gp
57350.1674040404,34.378561348914545,g,2.1324199798038164,gp
57350.78145454545,35.247497662054045,g,2.142170442949749,gp
57351.3955050505,36.114126962391026,g,2.139096069288256,gp
57352.00955555555,36.97597444838034,g,2.123021453672273,gp
57352.6236060606,37.83055739156529,g,2.0948021538887125,gp
57353.23765656565,38.67538326831003,g,2.05623935931748,gp
57353.8517070707,39.507947885500926,g,2.0100285494158356,gp
57354.46575757576,40.325733499211154,g,1.9597091444225745,gp
57355.07980808081,41.126206925255275,g,1.9095669279325924,gp
57355.69385858586,41.90681764074142,g,1.8644229082099375,gp
57356.30790909091,42.664999068609006,g,1.8292009875343125,gp
57356.92195959596,43.398451751426165,g,1.8054175262284478,gp
57357.53601010101,44.10536697672846,g,1.7886649643376755,gp
57358.15006060606,44.783964796271405,g,1.77386214091063,gp
57358.76411111111,45.43243964670185,g,1.75635182905105,gp
57359.37816161616,46.048958984350065,g,1.7322619075004042,gp
57359.99221212121,46.63166190468189,g,1.6987096323019313,gp
57360.606262626265,47.178657745664964,g,1.6539151378234112,gp
57361.220313131314,47.68802467426144,g,1.5972890306313647,gp
57361.834363636364,48.157808255365396,g,1.5295473425525312,gp
57362.448414141414,48.58602000230049,g,1.452893936153357,gp
57363.062464646464,48.970635908178465,g,1.3712900871914284,gp
57363.676515151514,49.30959495729637,g,1.2907774563312924,gp
57364.29056565656,49.60079761577468,g,1.219679958178059,gp
57364.90461616161,49.84210430062625,g,1.168233650914405,gp
57365.51866666666,50.031436779860584,g,1.14654022034854,gp
