#band: central wavelength of the passband of the observation in nm
#ph: phase of the observation when folded with ogle period
#mag: observed magnitude
#mag_e: error of mag
#hjd_2450000: heliocentric julian date - 2450000
#ph1: phase when folding on ogle period of fundamental radial mode
#ph2: phase when folding on ogle period of first overtone radial mode
#processing: which processing was done to get the datapoint
band,ph,mag,mag_e,hjd_2450000,ph1,ph2,processing
810,0.001513574374257587,17.182,0.024,7857.87177,0.001513574374257587,0.5376555519360409,raw
810,0.0037880349227634724,17.173,0.012,7484.84704,0.0037880349227634724,0.6591231147613144,raw
810,0.004672494622354861,17.148,0.009,6120.67946,0.004672494622354861,0.7828023443671555,raw
810,0.005547318120079581,17.116,0.012,7226.54573,0.005547318120079581,0.16741526097030146,raw
810,0.006271385362197179,17.116,0.013,7561.67795,0.006271385362197179,0.9960391058630194,raw
810,0.007681090090045473,17.18,0.01,6760.69913,0.007681090090045473,0.7482192767074594,raw
810,0.007783866676618345,17.159,0.015,6100.517,0.007783866676618345,0.6564552115014521,raw
810,0.009246843790606363,17.131,0.011,7080.88281,0.009246843790606363,0.6027722408871341,raw
810,0.009643165038141888,17.171,0.015,6797.89807,0.009643165038141888,0.3146213632899162,raw
810,0.010694661861634813,17.104,0.011,6114.77155,0.010694661861634813,0.1461212305675872,raw
810,0.011785940387198934,17.117,0.012,6151.62254,0.011785940387198934,0.9682781960236753,raw
810,0.012436916302249301,17.116,0.01,7071.84509,0.012436916302249301,0.2716067973033205,raw
810,0.012695511744823307,17.18,0.013,7638.51023,0.012695511744823307,0.3358854484940821,raw
810,0.014612483508244622,17.172,0.014,6835.79335,0.014612483508244622,0.3704548269197403,raw
810,0.015758961662868387,17.138,0.012,5378.80404,0.015758961662868387,0.9537699614156736,raw
810,0.016362147579400244,17.1519375,0.03070351193530267,NaN,NaN,NaN,raw
810,0.01642414738307707,17.131,0.01,6117.55472,0.01642414738307707,0.09916245419663028,raw
810,0.017084615679777926,17.164,0.009,6067.84139,0.017084615679777926,0.7651969206908689,raw
810,0.017201485214684453,17.15090625,0.030211469062314922,NaN,NaN,NaN,raw
810,0.017977959203733462,17.15071875,0.030088294128254884,NaN,NaN,NaN,raw
810,0.01817034259875072,17.169,0.01,6785.73338,0.01817034259875072,0.2950461872587766,raw
810,0.018325845045183087,17.101,0.01,5680.91041,0.018325845045183087,0.1419922155328095,raw
810,0.018742907501803074,17.15140625,0.03027493307309922,NaN,NaN,NaN,raw
810,0.01879833545172005,17.169,0.014,6571.58288,0.01879833545172005,0.23939218092345982,raw
810,0.01951998914688602,17.15446875,0.03150932721612583,NaN,NaN,NaN,raw
810,0.020293109341366744,17.15746875,0.0322890017977756,NaN,NaN,NaN,raw
810,0.020596594935341273,17.132,0.011,7924.62668,0.020596594935341273,0.32258464705591905,raw
810,0.02107740016134585,17.156937499999998,0.03204526788073973,NaN,NaN,NaN,raw
810,0.02188660758002925,17.157062500000002,0.03206137008321519,NaN,NaN,NaN,raw
810,0.022667447524497675,17.1595,0.0329682153870426,NaN,NaN,NaN,raw
810,0.023171043456386542,17.243,0.014,6707.86213,0.023171043456386542,0.7329025217495655,raw
810,0.023331781088927528,17.147,0.011,7109.74243,0.023331781088927528,0.3318464829480945,raw
810,0.023439889948690507,17.15925,0.03290847522957369,NaN,NaN,NaN,raw
810,0.024154511553206248,17.166,0.011,5327.70281,0.024154511553206248,0.6511658200361126,raw
810,0.024155547085683793,17.109,0.009,6068.88679,0.024155547085683793,0.0012476452902774327,raw
810,0.0241937449264924,17.162312500000002,0.032152296361073564,NaN,NaN,NaN,raw
810,0.02445162304866244,17.131,0.012,5978.84625,0.02445162304866244,0.4096896672162984,raw
810,0.024918674213267877,17.162906250000002,0.031456431082556045,NaN,NaN,NaN,raw
810,0.025375432975124568,17.183,0.01,6010.83012,0.025375432975124568,0.8213557175113237,raw
810,0.025634620796154195,17.16490625,0.03039456591393858,NaN,NaN,NaN,raw
810,0.026131659251404926,17.164,0.014,7307.5547,0.026131659251404926,0.4409622932198545,raw
810,0.026152858899877174,17.142,0.013,7435.83655,0.026152858899877174,0.8284920860187412,raw
810,0.026351700891495966,17.16496875,0.030428641404800134,NaN,NaN,NaN,raw
810,0.02680533058810397,17.163,0.009,6104.69538,0.02680533058810397,0.5937707143239095,raw
810,0.027059550186663728,17.164375,0.030472356589686573,NaN,NaN,NaN,raw
810,0.027740537664215026,17.16515625,0.03009244828106168,NaN,NaN,NaN,raw
810,0.028044719001627527,17.185,0.017,7258.5371,0.028044719001627527,0.5951233817013417,raw
810,0.028282086033868836,17.16,0.016,5841.52691,0.028282086033868836,0.6914863876609161,raw
810,0.028372378703352297,17.149,0.015,6134.59359,0.028372378703352297,0.5443294810265797,raw
810,0.028437261278668302,17.16615625,0.029445531316587142,NaN,NaN,NaN,raw
810,0.028635202572331764,17.167,0.011,6888.64061,0.028635202572331764,0.40771713423600886,raw
810,0.029122380997819164,17.165781250000002,0.029550104388222108,NaN,NaN,NaN,raw
810,0.029150840160582447,17.17,0.011,6562.54765,0.029150840160582447,0.9135527047255891,raw
810,0.029777305779816743,17.166625000000003,0.030026601109575085,NaN,NaN,NaN,raw
810,0.0304139307627338,17.214,0.014,6912.62889,0.0304139307627338,0.7172741228350787,raw
810,0.030438701740081342,17.16975,0.028119560405869406,NaN,NaN,NaN,raw
810,0.03101123158558039,17.212,0.014,6844.83788,0.03101123158558039,0.7161864704594336,raw
810,0.03109678615419398,17.17034375,0.028303207814320747,NaN,NaN,NaN,raw
810,0.03171679138245054,17.170499999999997,0.028097755621538996,NaN,NaN,NaN,raw
